"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,39565,0.112624794641729,10.0129912801719,2.44284089473019,1.26958170099836
100,9888,0.450647249190939,40.0651294498382,9.77457524271845,5.07999595469256
150,4352,1.02389705882353,91.0303308823529,22.2084099264706,11.5420496323529
200,2448,1.8202614379085,161.831699346405,39.4816176470588,20.5191993464052
250,1599,2.78674171357098,247.757348342714,60.4446529080675,31.4140087554722
300,1088,4.09558823529412,364.121323529412,88.8336397058823,46.1681985294118
350,812,5.48768472906404,487.886699507389,119.028325123153,61.8608374384236
400,624,7.14102564102564,634.878205128205,154.889423076923,80.4983974358974
450,483,9.22567287784679,820.215320910973,200.105590062112,103.997929606625
500,399,11.1679197994987,992.892230576441,242.233082706767,125.892230576441
