"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,166800,1.0207793764988,5.87829136690647,1.33969424460432,3.17103117505995,1.10127098321343
100,41800,4.07334928229665,23.4569138755981,5.34595693779904,12.6537799043062,4.39454545454545
150,18487,9.21003948720723,53.0372153405095,12.0874668686104,28.6108075945259,9.93627954779034
200,10400,16.3717307692308,94.27875,21.4866346153846,50.8584615384615,17.6626923076923
250,6640,25.6424698795181,147.665512048193,33.653765060241,79.6578313253012,27.6644578313253
300,4690,36.3040511727079,209.061620469083,47.6462686567164,112.777825159915,39.1667377398721
350,3420,49.7853801169591,286.695614035088,65.3394736842105,154.65730994152,53.7111111111111
400,2600,65.4869230769231,377.115,85.9465384615385,203.433846153846,70.6507692307692
450,2024,84.1235177865613,484.436264822134,110.405632411067,261.328063241107,90.7569169960474
500,1680,101.34880952381,583.630357142857,133.0125,314.838095238095,109.340476190476
