"","sample","Val","Lower","Upper","Type","Batch","Calc","size"
"NMU10_LL_CD45","NMU10_LL_CD45",0.727495477013323,0.61361219342813,0.814316268551844,"CD45","1","shannon",4
"NMU12_LA_CD45","NMU12_LA_CD45",NA,NA,NA,"CD45","1","shannon",12
"NMU13_LAU_CD45","NMU13_LAU_CD45",0,NA,NA,"CD45","1","shannon",14
"NMU13_LLU_CD45","NMU13_LLU_CD45",0,NA,NA,"CD45","1","shannon",4
"NMU13_RAU_CD45","NMU13_RAU_CD45",0,NA,NA,"CD45","1","shannon",8
"NMU14__CD45","NMU14__CD45",0.90495650884083,0.650109827862268,0.956761082445199,"CD45","1","shannon",6
"NMU7_RLU_CD45","NMU7_RLU_CD45",0.842272141340582,0.708037050427403,0.885906196856543,"CD45","1","shannon",4
"C2N__CD45","C2N__CD45",0.919036886109272,0.713603589914108,0.973751592909213,"CD45","1","shannon",19
"C2R__CD45","C2R__CD45",0.878970403010289,0.72557038210193,0.920739313103818,"CD45","1","shannon",21
"C5R__CD45","C5R__CD45",0,NA,NA,"CD45","1","shannon",9
"NMU10_LL_CD451","NMU10_LL_CD45",0.324074074074074,0.0138888888888888,0.398148148148148,"CD45","1","Gini",4
"NMU12_LA_CD451","NMU12_LA_CD45",0,0,0,"CD45","1","Gini",12
"NMU13_LAU_CD451","NMU13_LAU_CD45",NA,NA,NA,"CD45","1","Gini",14
"NMU13_LLU_CD451","NMU13_LLU_CD45",NA,NA,NA,"CD45","1","Gini",4
"NMU13_RAU_CD451","NMU13_RAU_CD45",NA,NA,NA,"CD45","1","Gini",8
"NMU14__CD451","NMU14__CD45",0.298136645962733,0.195652173913043,0.5,"CD45","1","Gini",6
"NMU7_RLU_CD451","NMU7_RLU_CD45",0.461538461538462,0.388429752066116,0.573426573426573,"CD45","1","Gini",4
"C2N__CD451","C2N__CD45",0.276923076923077,0.138461538461538,0.477019230769231,"CD45","1","Gini",19
"C2R__CD451","C2R__CD45",0.399092970521542,0.288265306122449,0.521577380952381,"CD45","1","Gini",21
"C5R__CD451","C5R__CD45",NA,NA,NA,"CD45","1","Gini",9
"NMU10_LL_CD452","NMU10_LL_CD45",1,1,1,"CD45","1","Top10",4
"NMU12_LA_CD452","NMU12_LA_CD45",1,1,1,"CD45","1","Top10",12
"NMU13_LAU_CD452","NMU13_LAU_CD45",0,0,0,"CD45","1","Top10",14
"NMU13_LLU_CD452","NMU13_LLU_CD45",0,0,0,"CD45","1","Top10",4
"NMU13_RAU_CD452","NMU13_RAU_CD45",0,0,0,"CD45","1","Top10",8
"NMU14__CD452","NMU14__CD45",0.826086956521739,0.826086956521739,0.826086956521739,"CD45","1","Top10",6
"NMU7_RLU_CD452","NMU7_RLU_CD45",0.757575757575758,0.757575757575758,0.757575757575758,"CD45","1","Top10",4
"C2N__CD452","C2N__CD45",1,1,1,"CD45","1","Top10",19
"C2R__CD452","C2R__CD45",0.816326530612245,0.816326530612245,0.816326530612245,"CD45","1","Top10",21
"C5R__CD452","C5R__CD45",0,0,0,"CD45","1","Top10",9
